Мотор;x;y;z;time;
;0,05144063;0,1173706;2,148183;14,57024;
;0,05145379;0,1171191;2,148183;14,58024;
;0,05139887;0,1172556;2,148183;14,59024;
;0,05139887;0,1172556;2,148183;14,60024;
;0,05134022;0,1175288;2,148183;14,61024;
;0,05130288;0,1177432;2,148183;14,62024;
;0,05126179;0,1179741;2,148183;14,63024;
;0,05122642;0,1181325;2,148183;14,64024;
;0,05122642;0,1181325;2,148183;14,65024;
;0,05118948;0,1183211;2,148183;14,66024;
;0,0511618;0,1184367;2,148183;14,67024;
;0,0511618;0,1184367;2,148183;14,68024;
;0,05113718;0,1185434;2,148183;14,69024;
;0,05112184;0,1186021;2,148183;14,70024;
;0,05111523;0,1186462;2,148183;14,71024;
;0,05111612;0,1186643;2,148183;14,72024;
;0,05111612;0,1186643;2,148183;14,73024;
;0,05113015;0,1186501;2,148183;14,74024;
;0,05114549;0,1186174;2,148183;14,75024;
;0,05116284;0,1185417;2,148183;14,76024;
;0,05118294;0,1184581;2,148183;14,77024;
;0,05120655;0,1183513;2,148183;14,78024;
;0,05120655;0,1183513;2,148183;14,79024;
;0,05124272;0,1181694;2,148183;14,80024;
;0,05129489;0,1179492;2,148183;14,81024;
;0,05129489;0,1179492;2,148183;14,82024;
;0,05135148;0,117748;2,148183;14,83024;
;0,05140633;0,1175306;2,148183;14,84024;
;0,05149865;0,1172039;2,148183;14,85024;
;0,05149865;0,1172039;2,148183;14,86024;
;0,0514837;0,1170985;2,148183;14,87024;
;0,0514008;0,1172791;2,148183;14,88025;
;0,05133195;0,117544;2,148183;14,89025;
;0,05129296;0,1177411;2,148183;14,90025;
;0,05126533;0,1179364;2,148183;14,91025;
;0,05126533;0,1179364;2,148183;14,92025;
;0,05123232;0,1181518;2,148183;14,93025;
;0,05119993;0,1182937;2,148183;14,94025;
;0,05116646;0,1184321;2,148183;14,95025;
;0,05116646;0,1184321;2,148183;14,96025;
;0,05114279;0,1185205;2,148183;14,97025;
;0,05112635;0,1186014;2,148183;14,98025;
;0,05111766;0,1186447;2,148183;14,99025;
;0,05111766;0,1186447;2,148183;15,00025;
;0,05111608;0,1186607;2,148183;15,01025;
;0,05112084;0,1186477;2,148183;15,02025;
;0,05113435;0,1186033;2,148183;15,03025;
;0,05114808;0,1185693;2,148183;15,04025;
;0,05114808;0,1185693;2,148183;15,05025;
;0,05117984;0,1184283;2,148183;15,06025;
;0,05121662;0,1183406;2,148183;15,07025;
;0,05121662;0,1183406;2,148183;15,08025;
;0,0512737;0,1181399;2,148183;15,09025;
;0,05132052;0,1179691;2,148183;15,10025;
;0,05135693;0,1177409;2,148183;15,11025;
;0,05135693;0,1177409;2,148183;15,12025;
;0,05140174;0,1174802;2,148183;15,13025;
;0,0514561;0,117255;2,148183;15,14025;
;0,0513888;0,1170187;2,148183;15,15025;
;0,0513888;0,1170187;2,148183;15,16025;
;0,05138307;0,117171;2,148183;15,17025;
;0,05136155;0,1174556;2,148183;15,18025;
;0,05132496;0,1176602;2,148183;15,19025;
;0,05132496;0,1176602;2,148183;15,20025;
;0,0512706;0,117877;2,148183;15,21025;
;0,0512248;0,118042;2,148183;15,22025;
;0,05118734;0,1182205;2,148183;15,23025;
;0,051162;0,1183476;2,148183;15,24025;
;0,051162;0,1183476;2,148183;15,25025;
;0,05114051;0,1184752;2,148183;15,26025;
;0,05112436;0,1185594;2,148183;15,27025;
;0,05111372;0,1186258;2,148183;15,28025;
;0,05111372;0,1186258;2,148183;15,29025;
;0,05111003;0,1186541;2,148183;15,30025;
;0,05111211;0,1186593;2,148183;15,31026;
;0,05111781;0,1186419;2,148183;15,32026;
;0,05112649;0,1185999;2,148183;15,33026;
;0,05112649;0,1185999;2,148183;15,34026;
;0,05114425;0,1185054;2,148183;15,35026;
;0,05117511;0,1183816;2,148183;15,36026;
;0,05120121;0,118278;2,148183;15,37026;
;0,05120121;0,118278;2,148183;15,38026;
;0,05124025;0,1181101;2,148183;15,39026;
;0,05128444;0,117952;2,148183;15,40026;
;0,05133312;0,1177171;2,148183;15,41026;
;0,0513818;0,1175063;2,148183;15,42026;
;0,0513818;0,1175063;2,148183;15,43026;
;0,05145128;0,1171927;2,148183;15,44026;
;0,05157908;0,1169152;2,148183;15,45026;
;0,05148483;0,117088;2,148183;15,46026;
;0,05148483;0,117088;2,148183;15,47026;
;0,05136331;0,117314;2,148183;15,48026;
;0,05128088;0,1176028;2,148183;15,49026;
;0,05124332;0,1178101;2,148183;15,50026;
;0,05121758;0,1179804;2,148183;15,51026;
;0,05121758;0,1179804;2,148183;15,52026;
;0,05118768;0,1181776;2,148183;15,53026;
;0,05116154;0,1183085;2,148183;15,54026;
;0,05113399;0,1184454;2,148183;15,55026;
;0,05111565;0,1185364;2,148183;15,56026;
;0,05111565;0,1185364;2,148183;15,57026;
;0,05110351;0,1186106;2,148183;15,58026;
;0,0510976;0,1186427;2,148183;15,59026;
;0,05110032;0,1186626;2,148183;15,60026;
;0,05110626;0,1186555;2,148183;15,61026;
;0,05110626;0,1186555;2,148183;15,62026;
;0,05111747;0,1186101;2,148183;15,63026;
;0,05113346;0,1185582;2,148183;15,64026;
;0,05115546;0,1184508;2,148183;15,65026;
;0,05115546;0,1184508;2,148183;15,66026;
;0,05118902;0,1183369;2,148183;15,67026;
;0,05122912;0,118188;2,148183;15,68026;
;0,05126725;0,1180084;2,148183;15,69026;
;0,05130721;0,1178457;2,148183;15,70026;
;0,05130721;0,1178457;2,148183;15,71026;
;0,05135615;0,1175852;2,148183;15,72026;
;0,05141482;0,1173516;2,148183;15,73026;
;0,05148497;0,1170328;2,148183;15,74026;
;0,05149965;0,1167588;2,148183;15,75027;
;0,05149965;0,1167588;2,148183;15,76027;
;0,05146443;0,1169902;2,148183;15,77027;
;0,05141385;0,1172257;2,148183;15,78027;
;0,05135763;0,1175081;2,148183;15,79027;
;0,05135763;0,1175081;2,148183;15,80027;
;0,05131076;0,1177174;2,148183;15,81027;
;0,05126095;0,1179475;2,148183;15,82027;
;0,05122108;0,1180961;2,148183;15,83027;
;0,05118953;0,1182275;2,148183;15,84027;
;0,05118953;0,1182275;2,148183;15,85027;
;0,05115927;0,1183792;2,148183;15,86027;
;0,0511376;0,1184812;2,148183;15,87027;
;0,0511376;0,1184812;2,148183;15,88027;
;0,05112213;0,1185713;2,148183;15,89027;
;0,05111306;0,1186268;2,148183;15,90027;
;0,05111132;0,1186602;2,148183;15,91027;
;0,05111572;0,1186592;2,148183;15,92027;
;0,05111572;0,1186592;2,148183;15,93027;
;0,05112841;0,1186232;2,148183;15,94027;
;0,05114479;0,118573;2,148183;15,95027;
;0,05116771;0,1184713;2,148183;15,96027;
;0,05119298;0,1183606;2,148183;15,97027;
;0,05121847;0,1182254;2,148183;15,98027;
;0,05121847;0,1182254;2,148183;15,99027;
;0,05124524;0,1180466;2,148183;16,00027;
;0,05129145;0,1178827;2,148183;16,01027;
;0,0513614;0,1176286;2,148183;16,02027;
;0,05144658;0,117398;2,148183;16,03027;
;0,05144658;0,117398;2,148183;16,04027;
;0,05151899;0,1170791;2,148183;16,05027;
;0,05159916;0,1167906;2,148183;16,06027;
;0,05150969;0,1170006;2,148183;16,07027;
;0,05140621;0,1172247;2,148183;16,08027;
;0,05140621;0,1172247;2,148183;16,09027;
;0,05133083;0,1175099;2,148183;16,10027;
;0,05128986;0,1177107;2,148183;16,11027;
;0,05124978;0,1179402;2,148183;16,12027;
;0,0512159;0,118108;2,148183;16,13027;
;0,05118571;0,1182584;2,148183;16,14027;
;0,05118571;0,1182584;2,148183;16,15027;
;0,05115717;0,118417;2,148183;16,16027;
;0,05113591;0,1185113;2,148183;16,17027;
;0,05112113;0,1185874;2,148183;16,18027;
;0,05111075;0,118636;2,148183;16,19028;
;0,05110931;0,1186597;2,148183;16,20028;
